,City,Lat,Lng,Max Temp (F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Country,Data
0,Barrow,71.2906,-156.7887,1.4,78,90,23.02,US,1610465022
1,Phalombe,-15.8064,35.6507,76.24,88,100,3.56,MW,1610465022
2,Thinadhoo,0.5333,72.9333,82.02,78,100,18.01,MV,1610465022
3,Kapaa,22.0752,-159.319,66.2,94,20,8.05,US,1610465022
4,Albany,42.6001,-73.9662,34.0,66,100,6.55,US,1610465023
5,Genhe,50.7833,121.5167,-6.93,89,100,1.86,CN,1610465023
6,Avarua,-21.2078,-159.775,78.8,78,61,8.05,CK,1610465023
7,Novomykolayivka,47.9781,35.9102,28.4,80,40,11.18,UA,1610465023
8,Kushima,31.4583,131.2333,35.6,64,20,2.3,JP,1610465024
9,Ushuaia,-54.8,-68.3,46.4,46,75,14.97,AR,1610464861
10,Ribeirão Bonito,-22.0667,-48.1761,74.84,90,100,6.51,BR,1610465024
11,Thompson,55.7435,-97.8558,17.6,93,90,5.75,CA,1610465024
12,Acapulco de Juárez,16.8634,-99.8901,77.0,69,75,3.44,MX,1610465021
13,Kudahuvadhoo,2.6708,72.8944,81.61,78,100,20.15,MV,1610465024
14,Bariloche,-41.1456,-71.3082,55.4,30,0,12.66,AR,1610464963
15,Atuona,-9.8,-139.0333,77.38,79,8,16.24,PF,1610465025
16,Provideniya,64.3833,-173.3,-10.44,83,99,10.54,RU,1610465025
17,Constitución,-35.3333,-72.4167,67.33,34,0,9.37,CL,1610465025
18,Katsuura,35.1333,140.3,39.0,81,40,6.91,JP,1610465025
19,Tiksi,71.6872,128.8694,-34.2,82,100,7.2,RU,1610465025
20,Dunedin,-45.8742,170.5036,59.0,91,11,1.99,NZ,1610465025
21,Lebu,-37.6167,-73.65,59.2,44,0,20.71,CL,1610465026
22,Jamestown,42.097,-79.2353,27.0,80,90,10.36,US,1610465016
23,Lüshunkou,38.8,121.2667,44.01,68,0,2.24,CN,1610464822
24,Qaanaaq,77.484,-69.3632,12.15,87,100,4.74,GL,1610465026
25,Port Macquarie,-31.4333,152.9167,63.0,99,81,6.33,AU,1610465024
26,Bereda,43.2686,-7.5406,48.99,61,1,4.0,ES,1610465026
27,Port Elizabeth,-33.918,25.5701,71.6,88,90,13.8,ZA,1610465027
28,Tilichiki,60.4667,166.1,-21.17,85,100,9.04,RU,1610465027
29,Busselton,-33.65,115.3333,61.0,81,28,1.01,AU,1610465027
30,George Town,5.4112,100.3354,80.6,65,20,4.61,MY,1610464839
31,Yamada,39.4667,141.95,33.98,89,40,6.11,JP,1610465027
32,Hilo,19.7297,-155.09,69.8,68,90,5.75,US,1610464972
33,Vaini,-21.2,-175.2,78.8,94,75,6.91,TO,1610465028
34,Punta Arenas,-53.15,-70.9167,51.8,58,20,27.63,CL,1610465012
35,Kalabo,-14.97,22.6814,80.85,69,91,3.71,ZM,1610465028
36,Yellowknife,62.456,-114.3525,14.0,92,40,5.75,CA,1610465028
37,Puerto Ayora,-0.7393,-90.3518,80.6,69,40,13.8,EC,1610465029
38,Bluff,-46.6,168.3333,55.99,86,55,1.01,NZ,1610465029
39,Poya,-21.35,165.15,78.28,86,60,5.12,NC,1610465029
